year,co2,doy,Plot,block,Ring,LAI
2009,385,183,C,1,4,0.55
2009,385,183,C,2,1,0.53
2009,385,183,C,3,10,0.72
2009,385,183,C,4,11,0.75
2009,585,183,C,1,3,0.91
2009,585,183,C,2,5,0.82
2009,585,183,C,3,14,0.77
2009,585,183,C,4,15,0.67
2009,385,197,C,1,4,1.91
2009,385,197,C,2,1,2.54
2009,385,197,C,3,10,1.37
2009,385,197,C,4,11,1.34
2009,585,197,C,1,3,2.45
2009,585,197,C,2,5,1.85
2009,585,197,C,3,14,2.06
2009,585,197,C,4,15,3
2009,385,214,C,1,4,5.78
2009,385,214,C,2,1,6.03
2009,385,214,C,3,10,4.27
2009,385,214,C,4,11,4.81
2009,585,214,C,1,3,4.59
2009,585,214,C,2,5,6.32
2009,585,214,C,3,14,5.76
2009,585,214,C,4,15,5.81
2009,385,220,C,1,4,6.48
2009,385,220,C,2,1,5.89
2009,385,220,C,3,10,5.71
2009,385,220,C,4,11,5.95
2009,585,220,C,1,3,6.97
2009,585,220,C,2,5,6.62
2009,585,220,C,3,14,6.71
2009,585,220,C,4,15,7.03
2009,385,226,C,1,4,6.11
2009,385,226,C,2,1,6.2414
2009,385,226,C,3,10,6.939
2009,585,226,C,1,3,7.2551
2009,585,226,C,2,5,6.54
2009,585,226,C,3,14,6.32
2009,585,226,C,4,15,6.394
2009,385,235,C,1,4,6.553
2009,385,235,C,2,1,6.163
2009,385,235,C,4,11,7.281
2009,585,235,C,1,3,6.592
2009,585,235,C,2,5,5.955
2009,585,235,C,3,14,7.723
2009,585,235,C,4,15,7.424
2009,385,241,C,1,4,7.034
2009,385,241,C,2,1,6.592
2009,385,241,C,3,10,6.332
2009,385,241,C,4,11,6.8
2009,585,241,C,1,3,7.281
2009,585,241,C,2,5,7.06
2009,585,241,C,3,14,6.137
2009,585,241,C,4,15,7.008
2009,385,253,C,1,4,6.0561
2009,385,253,C,2,1,5.45
2009,385,253,C,3,10,5.18
2009,385,253,C,4,11,6.5466
2009,585,253,C,1,3,6.17
2009,585,253,C,2,5,6.8409
2009,585,253,C,3,14,6.7646
2009,585,253,C,4,15,6
2009,385,263,C,1,4,1.4
2009,385,263,C,2,1,1.05
2009,385,263,C,3,10,1.23
2009,385,263,C,4,11,1.21
2009,585,263,C,1,3,2.37
2009,585,263,C,2,5,1.86
2009,585,263,C,3,14,1.48
2009,585,263,C,4,15,1.41
